r(cm),qin_mean(kW/m^2)
-13.88,12.776
-13.84,12.756
-13.8,12.736
-13.76,12.716
-13.72,12.695
-13.68,12.675
-13.64,12.654
-13.6,12.634
-13.56,12.614
-13.52,12.593
-13.48,12.573
-13.44,12.552
-13.4,12.532
-13.36,12.512
-13.32,12.491
-13.28,12.471
-13.24,12.451
-13.2,12.43
-13.16,12.419
-13.12,12.411
-13.08,12.402
-13.04,12.394
-13.0,12.386
-12.96,12.377
-12.92,12.369
-12.88,12.36
-12.84,12.352
-12.8,12.344
-12.76,12.335
-12.72,12.327
-12.68,12.319
-12.64,12.31
-12.6,12.302
-12.56,12.293
-12.52,12.285
-12.48,12.283
-12.44,12.284
-12.4,12.285
-12.36,12.286
-12.32,12.287
-12.28,12.288
-12.24,12.289
-12.2,12.29
-12.16,12.291
-12.12,12.292
-12.08,12.293
-12.04,12.294
-12.0,12.295
-11.96,12.296
-11.92,12.297
-11.88,12.299
-11.84,12.3
-11.8,12.303
-11.76,12.309
-11.72,12.314
-11.68,12.32
-11.64,12.326
-11.6,12.331
-11.56,12.337
-11.52,12.343
-11.48,12.348
-11.44,12.354
-11.4,12.36
-11.36,12.366
-11.32,12.371
-11.28,12.377
-11.24,12.383
-11.2,12.388
-11.16,12.394
-11.12,12.4
-11.08,12.407
-11.04,12.414
-11.0,12.422
-10.96,12.429
-10.92,12.436
-10.88,12.443
-10.84,12.45
-10.8,12.457
-10.76,12.464
-10.72,12.472
-10.68,12.479
-10.64,12.486
-10.6,12.493
-10.56,12.5
-10.52,12.507
-10.48,12.514
-10.44,12.521
-10.4,12.529
-10.36,12.536
-10.32,12.543
-10.28,12.551
-10.24,12.558
-10.2,12.565
-10.16,12.573
-10.12,12.58
-10.08,12.587
-10.04,12.595
-10.0,12.602
-9.96,12.609
-9.92,12.616
-9.88,12.624
-9.84,12.631
-9.8,12.638
-9.76,12.646
-9.72,12.652
-9.68,12.658
-9.64,12.664
-9.6,12.671
-9.56,12.677
-9.52,12.683
-9.48,12.689
-9.44,12.696
-9.4,12.702
-9.36,12.708
-9.32,12.714
-9.28,12.721
-9.24,12.727
-9.2,12.733
-9.16,12.739
-9.12,12.746
-9.08,12.752
-9.04,12.758
-9.0,12.763
-8.96,12.769
-8.92,12.774
-8.88,12.78
-8.84,12.785
-8.8,12.791
-8.76,12.796
-8.72,12.802
-8.68,12.807
-8.64,12.813
-8.6,12.819
-8.56,12.824
-8.52,12.83
-8.48,12.835
-8.44,12.841
-8.4,12.846
-8.36,12.852
-8.32,12.858
-8.28,12.863
-8.24,12.869
-8.2,12.874
-8.16,12.88
-8.12,12.886
-8.08,12.891
-8.04,12.897
-8.0,12.903
-7.96,12.908
-7.92,12.914
-7.88,12.92
-7.84,12.925
-7.8,12.931
-7.76,12.937
-7.72,12.942
-7.68,12.948
-7.64,12.953
-7.6,12.959
-7.56,12.965
-7.52,12.97
-7.48,12.976
-7.44,12.982
-7.4,12.987
-7.36,12.993
-7.32,12.998
-7.28,13.004
-7.24,13.01
-7.2,13.015
-7.16,13.021
-7.12,13.027
-7.08,13.032
-7.04,13.038
-7.0,13.043
-6.96,13.048
-6.92,13.053
-6.88,13.058
-6.84,13.063
-6.8,13.068
-6.76,13.072
-6.72,13.077
-6.68,13.082
-6.64,13.087
-6.6,13.092
-6.56,13.097
-6.52,13.102
-6.48,13.106
-6.44,13.111
-6.4,13.116
-6.36,13.121
-6.32,13.126
-6.28,13.129
-6.24,13.132
-6.2,13.135
-6.16,13.138
-6.12,13.141
-6.08,13.144
-6.04,13.147
-6.0,13.15
-5.96,13.152
-5.92,13.155
-5.88,13.158
-5.84,13.161
-5.8,13.164
-5.76,13.167
-5.72,13.17
-5.68,13.173
-5.64,13.175
-5.6,13.178
-5.56,13.179
-5.52,13.181
-5.48,13.182
-5.44,13.183
-5.4,13.185
-5.36,13.186
-5.32,13.187
-5.28,13.189
-5.24,13.19
-5.2,13.191
-5.16,13.193
-5.12,13.194
-5.08,13.195
-5.04,13.197
-5.0,13.198
-4.96,13.199
-4.92,13.201
-4.88,13.201
-4.84,13.201
-4.8,13.202
-4.76,13.202
-4.72,13.202
-4.68,13.203
-4.64,13.203
-4.6,13.203
-4.56,13.203
-4.52,13.204
-4.48,13.204
-4.44,13.204
-4.4,13.204
-4.36,13.205
-4.32,13.205
-4.28,13.205
-4.24,13.206
-4.2,13.205
-4.16,13.204
-4.12,13.203
-4.08,13.202
-4.04,13.201
-4.0,13.2
-3.96,13.2
-3.92,13.199
-3.88,13.198
-3.84,13.197
-3.8,13.196
-3.76,13.195
-3.72,13.194
-3.68,13.193
-3.64,13.192
-3.6,13.191
-3.56,13.19
-3.52,13.189
-3.48,13.186
-3.44,13.183
-3.4,13.18
-3.36,13.177
-3.32,13.174
-3.28,13.171
-3.24,13.168
-3.2,13.165
-3.16,13.163
-3.12,13.16
-3.08,13.157
-3.04,13.154
-3.0,13.151
-2.96,13.148
-2.92,13.145
-2.88,13.142
-2.84,13.139
-2.8,13.135
-2.76,13.13
-2.72,13.124
-2.68,13.119
-2.64,13.113
-2.6,13.108
-2.56,13.102
-2.52,13.097
-2.48,13.091
-2.44,13.086
-2.4,13.08
-2.36,13.075
-2.32,13.069
-2.28,13.064
-2.24,13.059
-2.2,13.053
-2.16,13.048
-2.12,13.042
-2.08,13.036
-2.04,13.029
-2.0,13.022
-1.96,13.015
-1.92,13.008
-1.88,13.001
-1.84,12.994
-1.8,12.987
-1.76,12.98
-1.72,12.974
-1.68,12.967
-1.64,12.96
-1.6,12.953
-1.56,12.946
-1.52,12.939
-1.48,12.932
-1.44,12.925
-1.4,12.919
-1.36,12.913
-1.32,12.908
-1.28,12.902
-1.24,12.897
-1.2,12.891
-1.16,12.886
-1.12,12.88
-1.08,12.875
-1.04,12.87
-1.0,12.864
-0.96,12.859
-0.92,12.853
-0.88,12.848
-0.84,12.842
-0.8,12.837
-0.76,12.831
-0.72,12.826
-0.68,12.823
-0.64,12.822
-0.6,12.82
-0.56,12.819
-0.52,12.818
-0.48,12.817
-0.44,12.815
-0.4,12.814
-0.36,12.813
-0.32,12.812
-0.28,12.811
-0.24,12.809
-0.2,12.808
-0.16,12.807
-0.12,12.806
-0.08,12.804
-0.04,12.803
0.0,12.802
0.04,12.806
0.08,12.809
0.12,12.813
0.16,12.816
0.2,12.82
0.24,12.824
0.28,12.827
0.32,12.831
0.36,12.835
0.4,12.838
0.44,12.842
0.48,12.846
0.52,12.849
0.56,12.853
0.6,12.857
0.64,12.86
0.68,12.864
0.72,12.869
0.76,12.876
0.8,12.884
0.84,12.891
0.88,12.898
0.92,12.905
0.96,12.913
1.0,12.92
1.04,12.927
1.08,12.935
1.12,12.942
1.16,12.949
1.2,12.956
1.24,12.964
1.28,12.971
1.32,12.978
1.36,12.986
1.4,12.993
1.44,13.001
1.48,13.009
1.52,13.018
1.56,13.026
1.6,13.034
1.64,13.043
1.68,13.051
1.72,13.059
1.76,13.068
1.8,13.076
1.84,13.084
1.88,13.093
1.92,13.101
1.96,13.109
2.0,13.118
2.04,13.126
2.08,13.134
2.12,13.142
2.16,13.148
2.2,13.155
2.24,13.161
2.28,13.168
2.32,13.174
2.36,13.181
2.4,13.187
2.44,13.194
2.48,13.2
2.52,13.207
2.56,13.213
2.6,13.22
2.64,13.226
2.68,13.233
2.72,13.239
2.76,13.246
2.8,13.252
2.84,13.256
2.88,13.258
2.92,13.261
2.96,13.263
3.0,13.266
3.04,13.268
3.08,13.27
3.12,13.273
3.16,13.275
3.2,13.278
3.24,13.28
3.28,13.283
3.32,13.285
3.36,13.288
3.4,13.29
3.44,13.293
3.48,13.295
3.52,13.297
3.56,13.297
3.6,13.296
3.64,13.295
3.68,13.294
3.72,13.294
3.76,13.293
3.8,13.292
3.84,13.291
3.88,13.291
3.92,13.29
3.96,13.289
4.0,13.289
4.04,13.288
4.08,13.287
4.12,13.286
4.16,13.286
4.2,13.285
4.24,13.283
4.28,13.281
4.32,13.279
4.36,13.277
4.4,13.275
4.44,13.273
4.48,13.271
4.52,13.269
4.56,13.266
4.6,13.264
4.64,13.262
4.68,13.26
4.72,13.258
4.76,13.256
4.8,13.254
4.84,13.252
4.88,13.25
4.92,13.247
4.96,13.244
5.0,13.241
5.04,13.237
5.08,13.234
5.12,13.231
5.16,13.227
5.2,13.224
5.24,13.221
5.28,13.217
5.32,13.214
5.36,13.211
5.4,13.207
5.44,13.204
5.48,13.201
5.52,13.197
5.56,13.194
5.6,13.191
5.64,13.187
5.68,13.183
5.72,13.179
5.76,13.175
5.8,13.172
5.84,13.168
5.88,13.164
5.92,13.16
5.96,13.156
6.0,13.152
6.04,13.148
6.08,13.145
6.12,13.141
6.16,13.137
6.2,13.133
6.24,13.129
6.28,13.125
6.32,13.121
6.36,13.117
6.4,13.113
6.44,13.109
6.48,13.104
6.52,13.1
6.56,13.096
6.6,13.092
6.64,13.088
6.68,13.083
6.72,13.079
6.76,13.075
6.8,13.071
6.84,13.067
6.88,13.062
6.92,13.058
6.96,13.054
7.0,13.05
7.04,13.045
7.08,13.04
7.12,13.035
7.16,13.031
7.2,13.026
7.24,13.021
7.28,13.016
7.32,13.011
7.36,13.006
7.4,13.002
7.44,12.997
7.48,12.992
7.52,12.987
7.56,12.982
7.6,12.978
7.64,12.973
7.68,12.968
7.72,12.963
7.76,12.958
7.8,12.952
7.84,12.947
7.88,12.941
7.92,12.936
7.96,12.931
8.0,12.925
8.04,12.92
8.08,12.915
8.12,12.909
8.16,12.904
8.2,12.899
8.24,12.893
8.28,12.888
8.32,12.883
8.36,12.877
8.4,12.872
8.44,12.867
8.48,12.862
8.52,12.857
8.56,12.852
8.6,12.847
8.64,12.842
8.68,12.837
8.72,12.832
8.76,12.827
8.8,12.822
8.84,12.817
8.88,12.812
8.92,12.807
8.96,12.802
9.0,12.797
9.04,12.792
9.08,12.787
9.12,12.782
9.16,12.777
9.2,12.772
9.24,12.766
9.28,12.761
9.32,12.756
9.36,12.751
9.4,12.746
9.44,12.741
9.48,12.736
9.52,12.731
9.56,12.726
9.6,12.72
9.64,12.715
9.68,12.71
9.72,12.705
9.76,12.7
9.8,12.693
9.84,12.687
9.88,12.68
9.92,12.673
9.96,12.667
10.0,12.66
10.04,12.654
10.08,12.647
10.12,12.64
10.16,12.634
10.2,12.627
10.24,12.62
10.28,12.614
10.32,12.607
10.36,12.6
10.4,12.594
10.44,12.587
10.48,12.58
10.52,12.572
10.56,12.564
10.6,12.557
10.64,12.549
10.68,12.542
10.72,12.534
10.76,12.526
10.8,12.519
10.84,12.511
10.88,12.504
10.92,12.496
10.96,12.489
11.0,12.481
11.04,12.473
11.08,12.466
11.12,12.458
11.16,12.451
11.2,12.444
11.24,12.438
11.28,12.431
11.32,12.424
11.36,12.418
11.4,12.411
11.44,12.404
11.48,12.398
11.52,12.391
11.56,12.384
11.6,12.378
11.64,12.371
11.68,12.364
11.72,12.357
11.76,12.351
11.8,12.344
11.84,12.34
11.88,12.338
11.92,12.336
11.96,12.334
12.0,12.332
12.04,12.33
12.08,12.328
12.12,12.326
12.16,12.324
12.2,12.322
12.24,12.32
12.28,12.318
12.32,12.316
12.36,12.314
12.4,12.312
12.44,12.31
12.48,12.308
12.52,12.309
12.56,12.317
12.6,12.325
12.64,12.332
12.68,12.34
12.72,12.348
12.76,12.355
12.8,12.363
12.84,12.371
12.88,12.378
12.92,12.386
12.96,12.394
13.0,12.401
13.04,12.409
13.08,12.417
13.12,12.424
13.16,12.432
13.2,12.442
13.24,12.462
13.28,12.481
13.32,12.501
13.36,12.52
13.4,12.539
13.44,12.559
13.48,12.578
13.52,12.598
13.56,12.617
13.6,12.637
13.64,12.656
13.68,12.675
13.72,12.695
13.76,12.714
13.8,12.734
13.84,12.753
13.88,12.772
13.92,12.781
13.96,12.79
14.0,12.8
14.04,12.809
14.08,12.818
14.12,12.827
14.16,12.837
14.2,12.846
14.24,12.855
14.28,12.865
14.32,12.874
14.36,12.883
14.4,12.892
14.44,12.902
14.48,12.911
14.52,12.92
14.56,12.929
14.6,12.927
14.64,12.924
14.68,12.921
14.72,12.917
14.76,12.914
14.8,12.911
14.84,12.908
14.88,12.904
14.92,12.901
14.96,12.898
15.0,12.894
15.04,12.891
15.08,12.888
15.12,12.884
15.16,12.881
15.2,12.878
15.24,12.875
15.28,nan
15.32,nan
15.36,nan
15.4,nan
15.44,nan
15.48,nan
15.52,nan
15.56,nan
15.6,nan
15.64,nan
15.68,nan
15.72,nan
15.76,nan
15.8,nan
15.84,nan
15.88,nan
15.92,nan
15.96,nan
16.0,nan
16.04,nan
16.08,nan
16.12,nan
16.16,nan
16.2,nan
16.24,nan
16.28,nan
16.32,nan
16.36,nan
16.4,nan
16.44,nan
16.48,nan
16.52,nan
16.56,nan
16.6,nan
16.64,nan
16.68,nan
16.72,nan
16.76,nan
16.8,nan
16.84,nan
16.88,nan
16.92,nan
16.96,nan
17.0,nan
17.04,nan
17.08,nan
17.12,nan
17.16,nan
17.2,nan
17.24,nan
17.28,nan
17.32,nan
17.36,nan
17.4,nan
17.44,nan
17.48,nan
17.52,nan
17.56,nan
17.6,nan
17.64,nan
17.68,nan
17.72,nan
17.76,nan
17.8,nan
17.84,nan
17.88,nan
17.92,nan
17.96,nan
18.0,nan
18.04,nan
18.08,nan
18.12,nan
18.16,nan
18.2,nan
18.24,nan
18.28,nan
18.32,nan
18.36,nan
18.4,nan
18.44,nan
18.48,nan
18.52,nan
18.56,nan
18.6,nan
18.64,nan
18.68,nan
18.72,nan
18.76,nan
18.8,nan
18.84,nan
18.88,nan
18.92,nan
18.96,nan
19.0,nan
19.04,nan
19.08,nan
19.12,nan
19.16,nan
19.2,nan
19.24,nan
19.28,nan
19.32,nan
19.36,nan
19.4,nan
19.44,nan
19.48,nan
19.52,nan
19.56,nan
19.6,nan
19.64,nan
19.68,nan
19.72,nan
19.76,nan
19.8,nan
19.84,nan
19.88,nan
19.92,nan
19.96,nan
20.0,nan
