r, Q_conv, Q_rad, Q_total
110.0,     0.00,     0.85,     0.85
111.0,     0.00,     0.84,     0.84
112.0,     0.00,     0.81,     0.81
113.0,     0.00,     0.78,     0.78
114.0,     0.00,     0.79,     0.79
115.0,     0.00,     0.78,     0.78
116.0,     0.00,     0.74,     0.74
117.0,     0.00,     0.72,     0.72
118.0,     0.00,     0.74,     0.74
119.0,     0.00,     0.71,     0.71
120.0,     0.00,     0.69,     0.69
121.0,     0.00,     0.68,     0.68
122.0,     0.00,     0.69,     0.69
123.0,     0.00,     0.67,     0.67
124.0,     0.00,     0.64,     0.64
125.0,     0.00,     0.63,     0.63
126.0,     0.00,     0.64,     0.64
127.0,     0.00,     0.63,     0.63
128.0,     0.00,     0.60,     0.60
129.0,     0.00,     0.60,     0.60
130.0,     0.00,     0.59,     0.59
131.0,     0.00,     0.60,     0.60
132.0,     0.00,     0.58,     0.58
133.0,     0.00,     0.56,     0.56
134.0,     0.00,     0.57,     0.57
135.0,     0.00,     0.56,     0.56
136.0,     0.00,     0.54,     0.54
137.0,     0.00,     0.53,     0.53
138.0,     0.00,     0.54,     0.54
139.0,     0.00,     0.53,     0.53
140.0,     0.00,     0.52,     0.52
141.0,     0.00,     0.50,     0.50
142.0,     0.00,     0.50,     0.50
143.0,     0.00,     0.51,     0.51
144.0,     0.00,     0.49,     0.49
145.0,     0.00,     0.48,     0.48
146.0,     0.00,     0.48,     0.48
147.0,     0.00,     0.48,     0.48
148.0,     0.00,     0.47,     0.47
149.0,     0.00,     0.46,     0.46
150.0,     0.00,     0.46,     0.46
151.0,     0.00,     0.46,     0.46
152.0,     0.00,     0.45,     0.45
153.0,     0.00,     0.44,     0.44
154.0,     0.00,     0.44,     0.44
155.0,     0.00,     0.45,     0.45
156.0,     0.00,     0.43,     0.43
157.0,     0.00,     0.42,     0.42
158.0,     0.00,     0.42,     0.42
159.0,     0.00,     0.42,     0.42
160.0,     0.00,     0.42,     0.42
161.0,     0.00,     0.41,     0.41
162.0,     0.00,     0.40,     0.40
163.0,     0.00,     0.42,     0.42
164.0,     0.00,     0.40,     0.40
165.0,     0.00,     0.39,     0.39
166.0,     0.00,     0.39,     0.39
167.0,     0.00,     0.40,     0.40
168.0,     0.00,     0.39,     0.39
169.0,     0.00,     0.38,     0.38
170.0,     0.00,     0.37,     0.37
171.0,     0.00,     0.39,     0.39
172.0,     0.00,     0.38,     0.38
173.0,     0.00,     0.37,     0.37
174.0,     0.00,     0.36,     0.36
175.0,     0.00,     0.38,     0.38
176.0,     0.00,     0.36,     0.36
177.0,     0.00,     0.35,     0.35
178.0,     0.00,     0.35,     0.35
179.0,     0.00,     0.37,     0.37
180.0,     0.00,     0.35,     0.35
181.0,     0.00,     0.35,     0.35
182.0,     0.00,     0.34,     0.34
183.0,     0.00,     0.36,     0.36
184.0,     0.00,     0.34,     0.34
185.0,     0.00,     0.34,     0.34
186.0,     0.00,     0.33,     0.33
187.0,     0.00,     0.35,     0.35
188.0,     0.00,     0.34,     0.34
189.0,     0.00,     0.33,     0.33
190.0,     0.00,     0.32,     0.32
191.0,     0.00,     0.34,     0.34
192.0,     0.00,     0.33,     0.33
193.0,     0.00,     0.32,     0.32
194.0,     0.00,     0.31,     0.31
195.0,     0.00,     0.33,     0.33
196.0,     0.00,     0.32,     0.32
197.0,     0.00,     0.31,     0.31
198.0,     0.00,     0.31,     0.31
199.0,     0.00,     0.33,     0.33
200.0,     0.00,     0.31,     0.31
201.0,     0.00,     0.31,     0.31
202.0,     0.00,     0.30,     0.30
203.0,     0.00,     0.32,     0.32
204.0,     0.00,     0.31,     0.31
205.0,     0.00,     0.30,     0.30
206.0,     0.00,     0.29,     0.29
207.0,     0.00,     0.31,     0.31
208.0,     0.00,     0.30,     0.30
209.0,     0.00,     0.29,     0.29
210.0,     0.00,     0.28,     0.28
211.0,     0.00,     0.30,     0.30
212.0,     0.00,     0.29,     0.29
213.0,     0.00,     0.29,     0.29
214.0,     0.00,     0.28,     0.28
215.0,     0.00,     0.30,     0.30
216.0,     0.00,     0.29,     0.29
217.0,     0.00,     0.28,     0.28
218.0,     0.00,     0.27,     0.27
219.0,     0.00,     0.24,     0.24
